global-power-costs,2013-power
23402.999999998425,1.0
23446.499999998374,1.0
23489.999999998323,1.0
23533.499999998272,1.0
23576.99999999822,1.0
23620.49999999817,1.0
23663.99999999812,1.0
23707.49999999807,1.0
23750.999999998017,1.0
23794.499999997966,1.0
23837.999999997915,1.0
23881.499999997865,1.0
23924.999999997814,1.0
23968.499999997763,1.0
24011.99999999771,1.0
24055.49999999766,1.0
24098.99999999761,1.0
24142.49999999756,1.0
24185.999999997508,1.0
24229.499999997457,1.0
24272.999999997406,1.0
24316.499999997355,1.0
24359.999999997304,1.0
24403.499999997253,1.0
24446.999999997202,1.0
24490.49999999715,1.0
24533.9999999971,1.0
24577.49999999705,1.0
24620.999999997,1.0
24664.499999996948,1.0
24707.999999996897,1.0
24751.499999996846,1.0
24794.999999996795,1.0
24838.499999996744,1.0
24881.999999996693,1.0
24925.499999996642,1.0
24968.99999999659,1.0
25012.49999999654,1.0
25055.99999999649,1.0
25099.49999999644,1.0
25142.999999996387,1.0
25186.499999996337,1.0
25229.999999996286,1.0
25273.499999996235,1.0
25316.999999996184,1.0
25360.499999996133,1.0
25403.999999996082,1.0
25447.49999999603,1.0
25490.99999999598,1.0
25534.49999999593,1.0
25577.999999995878,1.0
25621.499999995827,1.0
25664.999999995776,1.0
25708.499999995725,1.0
25751.999999995674,1.0
25795.499999995624,1.0
25838.999999995573,1.0
25882.49999999552,1.0
25925.99999999547,1.0
25969.49999999542,1.0
26012.99999999537,1.0
26056.499999995318,1.0
26099.999999995267,1.0
26143.499999995216,1.0
26186.999999995165,1.0
26230.499999995114,1.0
26273.999999995063,1.0
26317.499999995012,1.0
26360.99999999496,1.0
26404.49999999491,1.0
26447.99999999486,1.0
26491.49999999481,1.0
26534.999999994758,1.0
26578.499999994707,1.0
26621.999999994656,1.0
26665.499999994605,1.0
26708.999999994554,1.0
26752.499999994503,1.0
26795.999999994452,1.0
26839.4999999944,1.0
26882.99999999435,1.0
26926.4999999943,1.0
26969.99999999425,1.0
27013.499999994197,1.0
27056.999999994146,1.0
27100.499999994096,1.0
27143.999999994045,1.0
27187.499999993994,1.0
27230.999999993943,1.0
27274.499999993892,1.0
27317.99999999384,1.0
27361.49999999379,1.0
27404.99999999374,1.0
27448.499999993688,1.0
27491.999999993637,1.0
27535.499999993586,1.0
27578.999999993535,1.0
27622.499999993484,1.0
27665.999999993433,1.0
27709.499999993383,1.0
